

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1143.344  001.014  001.014: require('luasnip.nodes.functionNode')
1144.462  001.116  001.116: require('luasnip.nodes.choiceNode')
1145.541  001.077  001.077: require('luasnip.nodes.dynamicNode')
1146.494  000.951  000.951: require('luasnip.util.functions')
1146.500  089.599  001.053: require('luasnip.util.parser.ast_parser')
1147.631  001.129  001.129: require('luasnip.util.parser.neovim_parser')
1147.637  091.938  001.210: require('luasnip.util.parser')
1147.640  092.902  000.963: require('luasnip.nodes.snippetProxy')
1148.643  001.001  001.001: require('luasnip.nodes.multiSnippet')
1151.346  879.074  039.574: require('user.cmp')
1273.456  025.755  025.755: require('vim.lsp.log')
1299.349  025.890  025.890: require('vim.lsp.protocol')
1350.741  025.833  025.833: require('vim.lsp._snippet')
1376.636  025.891  025.891: require('vim.highlight')
1376.662  077.308  025.583: require('vim.lsp.util')
1376.691  153.910  024.957: require('vim.lsp.handlers')
1406.073  029.380  029.380: require('vim.lsp.rpc')
1436.974  030.897  030.897: require('vim.lsp.sync')
1463.741  026.764  026.764: require('vim.lsp.semantic_tokens')
1489.592  025.834  025.834: require('vim.lsp.buf')
1516.636  027.041  027.041: require('vim.lsp.diagnostic')
1541.539  024.899  024.899: require('vim.lsp.codelens')
1541.611  344.700  025.974: require('vim.lsp')
1541.662  359.561  014.861: require('lspconfig.util')
1556.515  014.851  014.851: require('lspconfig.async')
1556.520  389.560  015.147: require('lspconfig.configs')
1556.522  404.479  014.919: require('lspconfig')
1604.476  025.430  025.430: require('vim.version')
1607.139  039.177  013.747: require('lsp_signature.helper')
1607.152  050.313  011.136: require('lsp_signature')
1607.630  000.476  000.476: require('user.icons')
1607.722  051.198  000.408: require('user.lsp.lsp-signature')
1631.667  011.718  011.718: require('mason-core.path')
1654.609  011.416  011.416: require('mason-core.functional')
1677.471  011.173  011.173: require('mason-core.functional.data')
1677.478  022.856  011.683: require('mason-core.functional.function')
1689.056  011.565  011.565: require('mason-core.functional.relation')
1700.496  011.434  011.434: require('mason-core.functional.logic')
1700.510  068.840  011.570: require('mason-core.platform')
1712.138  011.626  011.626: require('mason.settings')
1712.141  104.014  011.830: require('mason')
1736.118  011.960  011.960: require('mason-core.log')
1747.789  011.667  011.667: require('mason-lspconfig.settings')
1747.793  035.651  012.024: require('mason-lspconfig')
1771.619  011.592  011.592: require('mason-core.functional.list')
1783.119  011.496  011.496: require('mason-core.functional.string')
1783.142  035.159  012.072: require('mason.api.command')
1795.696  012.548  012.548: require('mason-registry.sources')
1817.435  010.648  010.648: require('mason-lspconfig.notify')
1817.441  021.686  011.037: require('mason-lspconfig.lspconfig_hook')
1840.215  011.211  011.211: require('mason-core.functional.table')
1840.233  022.790  011.580: require('mason-lspconfig.mappings.server')
1863.512  011.673  011.673: require('mason-core.EventEmitter')
1875.000  011.485  011.485: require('mason-core.optional')
1898.921  012.433  012.433: require('mason-core.async')
1910.022  011.098  011.098: require('mason-core.async.uv')
1910.029  035.027  011.495: require('mason-core.fs')
1910.049  069.815  011.630: require('mason-registry')
1922.098  012.047  012.047: require('mason-lspconfig.server_config_extensions')
1937.404  015.303  015.303: require('lspconfig.server_configurations.omnisharp')
1948.610  011.151  011.151: require('mason-lspconfig.ensure_installed')
1971.667  011.518  011.518: require('mason-core.result')
2006.827  011.439  011.439: require('mason-core.process')
2018.234  011.404  011.404: require('mason-core.spawn')
2018.239  035.215  012.372: require('mason-core.managers.powershell')
2029.626  011.385  011.385: require('mason.version')
2029.630  057.960  011.360: require('mason-core.fetch')
2041.175  011.543  011.543: require('mason-core.providers')
2077.716  013.514  013.514: require('mason-core.purl')
2077.728  025.015  011.501: require('mason-core.package')
2124.160  014.429  014.429: require('mason-core.installer.registry.expr')
2124.169  030.257  015.828: require('mason-core.installer.registry.link')
2198.223  015.211  015.211: require('mason-core.receipt')
